,id,name,team,points_line,points_l20Rate,points_l10Rate,points_l5Rate,points_vsOpp,points_vsOppGames,reb_line,reb_l20Rate,reb_l10Rate,reb_l5Rate,reb_vsOpp,reb_vsOppGames,ast_line,ast_l20Rate,ast_l10Rate,ast_l5Rate,ast_vsOpp,ast_vsOppGames,player_url,site,points_projection,rebounds_projection,assists_projection
40,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,DeMar DeRozan,SAC,21.5,60.0,40.0,60.0,88.0,8.0,3.5,55.0,50.0,80.0,75.0,8.0,3.5,45.0,40.0,60.0,75.0,8.0,https://api.props.cash/nba/player-feed?playerId=5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb&int=0,away,21.86,4.36,3.71
41,51b62fe8-1e5c-4c65-8ad3-2ad06e749b70,Trey Murphy III,NOP,23.5,50.0,40.0,40.0,14.0,14.0,5.5,50.0,50.0,40.0,14.0,14.0,4.5,40.0,50.0,80.0,29.0,14.0,https://api.props.cash/nba/player-feed?playerId=51b62fe8-1e5c-4c65-8ad3-2ad06e749b70&int=0,home,20.45,4.76,4.18
42,77c425f0-0fce-4fab-bd1e-c915c8fb5bc7,Andrew Wiggins,MIA,16.5,60.0,70.0,60.0,56.0,16.0,4.5,50.0,50.0,40.0,56.0,16.0,2.5,50.0,60.0,60.0,50.0,16.0,https://api.props.cash/nba/player-feed?playerId=77c425f0-0fce-4fab-bd1e-c915c8fb5bc7&int=0,away,15.33,4.32,2.82
43,4e152a06-673e-4701-b115-aa7e2cd00d2d,Klay Thompson,DAL,16.5,30.0,50.0,60.0,60.0,5.0,3.5,50.0,60.0,60.0,40.0,5.0,2.5,40.0,40.0,20.0,20.0,5.0,https://api.props.cash/nba/player-feed?playerId=4e152a06-673e-4701-b115-aa7e2cd00d2d&int=0,home,16.37,4.55,2.13
44,18d35316-9f40-408c-abcc-ab49e06ef8e8,Duncan Robinson,MIA,6.5,75.0,80.0,60.0,40.0,5.0,2.5,25.0,30.0,0.0,20.0,5.0,1.5,60.0,50.0,20.0,20.0,5.0,https://api.props.cash/nba/player-feed?playerId=18d35316-9f40-408c-abcc-ab49e06ef8e8&int=0,away,6.66,1.39,2.04
45,3f7e2350-e208-4791-98c2-684b53bb5a9a,Luguentz Dort,OKC,8.5,50.0,40.0,60.0,73.0,11.0,3.5,50.0,50.0,20.0,55.0,11.0,1.5,55.0,60.0,40.0,55.0,11.0,https://api.props.cash/nba/player-feed?playerId=3f7e2350-e208-4791-98c2-684b53bb5a9a&int=0,away,11.75,3.77,1.31
46,54cf6e06-9172-44b8-8d3b-ea1b6926553d,Derrick Jones Jr.,LAC,10.5,55.0,60.0,60.0,33.0,9.0,3.5,55.0,60.0,20.0,22.0,9.0,0.5,55.0,70.0,80.0,44.0,9.0,https://api.props.cash/nba/player-feed?playerId=54cf6e06-9172-44b8-8d3b-ea1b6926553d&int=0,away,11.3,3.75,1.16
47,1c7e3ee9-c6cd-4e1d-9efe-81fb1b2d4b69,Jae'Sean Tate,HOU,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=1c7e3ee9-c6cd-4e1d-9efe-81fb1b2d4b69&int=0,home,3.12,1.48,0.56
48,a15f73b1-f757-4af2-b09a-f0185e09c8bf,Naji Marshall,DAL,,,,,,,,,,,,,,,,,,,https://api.props.cash/nba/player-feed?playerId=a15f73b1-f757-4af2-b09a-f0185e09c8bf&int=0,home,13.08,5.0,2.7
49,9a331092-35db-456c-a44a-d5b80a02ebe9,Jalen Green,HOU,23.5,65.0,50.0,40.0,0.0,12.0,4.5,45.0,50.0,40.0,25.0,12.0,4.5,45.0,70.0,80.0,8.0,12.0,https://api.props.cash/nba/player-feed?playerId=9a331092-35db-456c-a44a-d5b80a02ebe9&int=0,home,23.36,4.86,4.54
50,db72e294-1c54-454a-96b9-0b4fd2f38112,Zach LaVine,SAC,22.5,60.0,50.0,20.0,88.0,8.0,3.5,70.0,50.0,60.0,63.0,8.0,4.5,50.0,40.0,40.0,63.0,8.0,https://api.props.cash/nba/player-feed?playerId=db72e294-1c54-454a-96b9-0b4fd2f38112&int=0,away,21.82,3.97,4.44
51,3214b8de-d3ea-4188-9329-15a92f894f23,Malik Monk,SAC,19.5,60.0,40.0,20.0,15.0,13.0,3.5,50.0,70.0,60.0,38.0,13.0,6.5,60.0,60.0,40.0,23.0,13.0,https://api.props.cash/nba/player-feed?playerId=3214b8de-d3ea-4188-9329-15a92f894f23&int=0,away,18.55,4.12,5.68
52,68a8c4ea-1d77-4a42-bea4-dbe9a162332a,Keon Ellis,SAC,9.5,50.0,50.0,60.0,40.0,10.0,3.5,30.0,30.0,60.0,40.0,10.0,1.5,55.0,50.0,40.0,20.0,10.0,https://api.props.cash/nba/player-feed?playerId=68a8c4ea-1d77-4a42-bea4-dbe9a162332a&int=0,away,10.35,3.55,1.21
